GEO.id2,Id2
POPGROUP.id,Id
HD01_VD01,Estimate; Total:
HD01_VD02,Estimate; Total: - Less than 5 minutes
HD01_VD03,Estimate; Total: - 5 to 9 minutes
HD01_VD04,Estimate; Total: - 10 to 14 minutes
HD01_VD05,Estimate; Total: - 15 to 19 minutes
HD01_VD06,Estimate; Total: - 20 to 24 minutes
HD01_VD07,Estimate; Total: - 25 to 29 minutes
HD01_VD08,Estimate; Total: - 30 to 34 minutes
HD01_VD09,Estimate; Total: - 35 to 39 minutes
HD01_VD10,Estimate; Total: - 40 to 44 minutes
HD01_VD11,Estimate; Total: - 45 to 59 minutes
HD01_VD12,Estimate; Total: - 60 to 89 minutes
HD01_VD13,Estimate; Total: - 90 or more minutes
